"lesson","number","en","ru","uk","pos","note"
"3","62","well","Хорошо","Добре","adverbs",""
"4","1","do","Делать","Робити","verbs",""
"4","2","smoke","Курить","Курити","verbs",""
"4","3","pay","Платить","Платити","verbs",""
"4","4","sell","Продавать","Продавати","verbs",""
"4","5","lose","Терять","Втрачати","verbs",""
"4","6","break","Ломать","Ламати","verbs",""
"4","7","waste","Тратить зря","Витрачати даремно","verbs",""
"4","8","share","Делиться","Ділитися","verbs",""
"4","9","send","Отправлять","Надсилати","verbs",""
"4","10","check","Проверять","Перевіряти","verbs",""
"4","11","skip","Пропускать","Пропускати","verbs",""
"4","12","carry","Носить с собой","Носити з собою","verbs",""
"4","13","ask","Спрашивать / Просить","Питати / Просити","verbs",""
"4","14","believe","Верить","Вірити","verbs",""
"4","15","see","Видеть","Бачити","verbs",""
"4","16","like","Нравиться / Любить","Подобатися / Любити","verbs",""
"4","17","milk","Молоко","Молоко","nouns",""
"4","18","sugar","Сахар","Цукор","nouns",""
"4","19","cash","Наличные","Готівка","nouns",""
"4","20","ticket","Билет","Квиток","nouns","первая форма: tickets -> ticket"
"4","21","things","Вещи","Речі","nouns",""
"4","22","map","Карта","Карта","nouns","первая форма: maps -> map"
"4","23","breakfast","Завтрак","Сніданок","nouns",""
"5","1","sing","Петь","Співати","verbs",""
"5","2","code","Код","Код","nouns",""
"5","3","room","Номер","Номер","nouns",""
"5","4","table","Стол","Стіл","nouns",""
"5","5","vegetable","Овощ","Овоч","nouns",""
"5","6","job","Работа","Робота","nouns",""
"5","7","luck","Удача","Вдача","nouns",""
"5","8","noise","Шум","Шум","nouns",""
"5","9","mask","Маска","Маска","nouns",""
"5","10","price","Цена","Ціна","nouns",""
"5","11","credit","Кредит","Кредит","nouns",""
"5","12","card","Карта (карточка)","Картка","nouns",""
"5","13","rule","Правило","Правило","nouns",""
"5","14","tax","Налог","Податок","nouns",""
"5","15","mistake","Ошибка","Помилка","nouns",""
"5","16","tomorrow","Завтра","Завтра","adverbs",""
"5","17","much","Много","Багато","adverbs",""
"5","18","correctly","Правильно","Правильно","adverbs",""
"5","19","enough","Достаточно","Достатньо","adverbs",""
"5","20","cold","Холодный","Холодний","adjectives",""
"6","1","where","Где","Де","adverbs",""
"6","2","what","Что","Що","adverbs",""
"6","3","when","Когда","Коли","adverbs",""
"6","4","who","Кто","Хто","adverbs",""
"6","5","why","Почему","Чому","adverbs",""
"6","6","how","Как","Як","adverbs",""
"6","7","which","Какой (из)","Який (з)","adverbs",""
"6","8","start","Начинать","Починати","verbs",""
"6","9","cry","Плакать","Плакати","verbs",""
"6","10","usually","Обычно","Зазвичай","adverbs",""
"6","11","now","Сейчас","Зараз","adverbs",""
"6","12","sign","Подписывать","Підписувати","verbs",""
"6","13","want","Хотеть","Хотіти","verbs",""
"6","14","finish","Заканчивать","Закінчувати","verbs",""
"6","15","slowly","Медленно","Повільно","adverbs",""
"6","16","always","Всегда","Завжди","adverbs",""
"6","17","door","Дверь","Двері","nouns",""
"6","18","home","Дом; домой","Дім; додому","nouns",""
"6","19","report","Отчёт","Звіт","nouns",""
"6","20","exit","Выход","Вихід","nouns",""
"6","21","bag","Сумка","Сумка","nouns",""
"6","22","shop","Магазин","Магазин","nouns",""
"6","23","guest","Гость","Гість","nouns",""
"6","24","mail","Почта","Пошта","nouns",""
"6","25","groceries","Продукты (бакалея)","Продукти (бакалія)","nouns",""
"6","26","meeting","Встреча","Зустріч","nouns",""
"6","27","luggage","Багаж","Багаж","nouns",""
"6","28","way","Путь; дорога","Шлях; дорога","nouns",""
"6","29","bill","Счёт (в ресторане)","Рахунок (у ресторані)","nouns",""
"6","30","cafe","Кафе (заведение; не напиток «кофе»)","Кафе (заклад; не напій «кава»)","nouns",""
"7","1","my","Мой (моя, моё)","Мій (моя, моє)","adjectives",""
"7","2","his","Его","Його","adjectives",""
"7","3","this","Этот (эта, это)","Цей (ця, це)","adjectives",""
"7","4","have","Иметь (обладать)","Мати (володіти)","verbs",""
"7","5","about","О; про (насчёт)","Про; щодо","nouns",""
"7","6","for","Для","Для","nouns",""
"7","7","with","С; со (предлог «с»)","З; із (прийменник «з»)","nouns",""
"7","8","and","И","І; та","nouns",""
"7","9","insurance","Страховка","Страховка","nouns",""
"7","10","driver","Водитель","Водій","nouns",""
"7","11","license","Водительские права","Посвідчення водія","nouns",""
"7","12","allergy","Аллергия","Алергія","nouns",""
"7","13","nut","Орех (плод)","Горіх (плід)","nouns",""
"7","14","reservation","Бронь; резерв (столика, места)","Бронь; резервування місця","nouns",""
"7","15","booking","Бронирование (номер, билет, запись)","Бронювання (номер, квиток, запис)","nouns",""
"7","16","lighter","Зажигалка","Запальничка","nouns",""
"7","17","pass","Пропуск","Пропуск","nouns",""
"7","18","change","Сдача","Решта","nouns",""
"7","19","tablet","Планшет","Планшет","nouns",""
"7","20","charger","Зарядное устройство","Зарядний пристрій","nouns",""
"7","21","passport","Паспорт","Паспорт","nouns",""
"7","22","menu","Меню","Меню","nouns",""
"7","23","device","Устройство","Пристрій","nouns",""
"7","24","discount","Скидка","Знижка","nouns",""
"7","25","city","Город","Місто","nouns",""
"7","26","guide","Путеводитель","Путівник","nouns",""
"7","27","hotel","Отель","Готель","nouns",""
"7","28","wi-fi","Wi-Fi","Wi-Fi","nouns",""
"7","29","lunch","Обед","Обід","nouns",""
"7","30","spare","Запасной","Запасний","adjectives",""
"7","31","key","Ключ","Ключ","nouns",""
"7","32","appetite","Аппетит","Апетит","nouns",""
"7","33","international","Международный","Міжнародний","adjectives",""
"7","34","question","Вопрос","Питання","nouns",""
"7","35","phone","Телефон","Телефон","nouns",""
"7","36","address","Адрес","Адреса","nouns",""
"7","37","return","Обратный (о билете)","Зворотний (про квиток)","adjectives",""
"7","38","confirmation","Подтверждение","Підтвердження","nouns",""
"7","39","power bank","Внешний аккумулятор (power bank)","Зовнішній акумулятор (павербанк)","nouns",""
"7","40","document","Документ","Документ","nouns",""
"7","41","policy","Политика (компании)","Політика (компанії)","nouns",""
"7","42","issue","Спорный вопрос; пункт","Спірне питання; пункт","nouns",""
"7","43","number","Номер","Номер","nouns",""
"7","44","all","Все (целиком)","Усі; все","adjectives",""
"7","45","needed","Нужный; необходимый","Потрібний; необхідний","adjectives",""
"7","46","umbrella","Зонт","Парасоля","nouns",""
"7","47","headache","Головная боль","Головний біль","nouns",""
"7","48","pen","Ручка","Ручка","nouns",""
"7","49","suitcase","Чемодан","Валіза","nouns",""
"7","50","bicycle","Велосипед","Велосипед","nouns",""
"7","51","dog","Собака","Собака","nouns",""
"7","52","backpack","Рюкзак","Рюкзак","nouns",""
"7","53","plan","План","План","nouns",""
"7","54","good","Хороший","Гарний","adjectives",""
"7","55","news","Новости","Новини","nouns",""
"8","1","on","В / по (дни недели)","У / по (дні тижня)","adverbs",""
"8","2","in","В (месяцы, сезоны, части суток)","У (місяці, пори року, частини доби)","adverbs",""
"8","3","at","В / о (точное время, час)","О / у (точний час, година)","adverbs",""
"8","4","monday","Понедельник","Понеділок","nouns",""
"8","5","tuesday","Вторник","Вівторок","nouns",""
"8","6","wednesday","Среда","Середа","nouns",""
"8","7","thursday","Четверг","Четвер","nouns",""
"8","8","friday","Пятница","П'ятниця","nouns",""
"8","9","saturday","Суббота","Субота","nouns",""
"8","10","sunday","Воскресенье","Неділя","nouns",""
"8","11","weekend","Выходные","Вихідні","nouns",""
"8","12","morning","Утро","Ранок","nouns",""
"8","13","noon","Полдень","Полудень","nouns",""
"8","14","afternoon","День (после полудня)","Після полудня (друга половина дня)","nouns",""
"8","15","evening","Вечер","Вечір","nouns",""
"8","16","night","Ночь","Ніч","nouns",""
"8","17","midnight","Полночь","Північ","nouns",""
"8","18","o'clock","Ровно (указание часа)","Рівно (на годиннику)","nouns",""
"8","19","one","Один","Один","nouns",""
"8","20","two","Два","Два","nouns",""
"8","21","five","Пять","П'ять","nouns",""
"8","22","six","Шесть","Шість","nouns",""
"8","23","seven","Семь","Сім","nouns",""
"8","24","eight","Восемь","Вісім","nouns",""
"8","25","nine","Девять","Дев'ять","nouns",""
"8","26","ten","Десять","Десять","nouns",""
"8","27","fifteen","Пятнадцать","П'ятнадцять","nouns",""
"8","28","thirty","Тридцать","Тридцять","nouns",""
"8","29","january","Январь","Січень","nouns",""
"8","30","february","Февраль","Лютий","nouns",""
"8","31","march","Март","Березень","nouns",""
"8","32","april","Апрель","Квітень","nouns",""
"8","33","june","Июнь","Червень","nouns",""
"8","34","july","Июль","Липень","nouns",""
"8","35","august","Август","Серпень","nouns",""
"8","36","september","Сентябрь","Вересень","nouns",""
"8","37","october","Октябрь","Жовтень","nouns",""
"8","38","november","Ноябрь","Листопад","nouns",""
"8","39","december","Декабрь","Грудень","nouns",""
"8","40","spring","Весна","Весна","nouns",""
"8","41","summer","Лето","Літо","nouns",""
"8","42","winter","Зима","Зима","nouns",""
"8","43","birthday","День рождения","День народження","nouns",""
"8","44","vacation","Отпуск","Відпустка","nouns",""
"8","45","rent","Аренда","Оренда","nouns",""
"8","46","gym","Спортзал","Спортзал","nouns",""
"8","47","train","Поезд","Потяг","nouns",""
"8","48","park","Парк","Парк","nouns",""
"8","49","sport","Спорт","Спорт","nouns",""
"8","50","visit","Посещать","Відвідувати","verbs",""
"8","51","mother","Мама","Мама","nouns",""
"8","52","arrive","Прибывать","Прибувати","verbs",""
"8","53","depart","Отправляться","Відправлятися","verbs",""
"8","54","relax","Отдыхать","Відпочивати","verbs",""
"8","55","class","Занятие (урок)","Заняття (урок)","nouns",""
"8","56","shower","Душ","Душ","nouns",""
"9","1","bed","Кровать","Ліжко","nouns",""
"9","2","fridge","Холодильник","Холодильник","nouns",""
"9","3","lift","Лифт","Ліфт","nouns",""
"9","4","street","Улица","Вулиця","nouns",""
"9","5","towel","Полотенце","Рушник","nouns",""
"9","6","space","Место (пространство)","Місце (простір)","nouns",""
"9","7","parking lot","Парковка","Парковка","nouns",""
"9","8","shelf","Полка","Полиця","nouns",""
"9","9","shelves","Полки","Полиці","nouns",""
"9","10","district","Район","Район","nouns",""
"9","11","first aid kit","Аптечка","Аптечка","nouns",""
"9","12","ice","Лед","Лід","nouns",""
"9","13","glass","Стакан","Склянка","nouns",""
"9","14","wall","Стена","Стіна","nouns",""
"9","15","garden","Сад","Сад","nouns",""
"9","16","plate","Тарелка","Тарілка","nouns",""
"9","17","living room","Гостиная","Вітальня","nouns",""
"9","18","information","Информация","Інформація","nouns",""
"9","19","apartment","Квартира","Квартира","nouns",""
"9","20","coffeemaker","Кофемашина","Кавомашина","nouns",""
"9","21","desk","Письменный стол","Письмовий стіл","nouns",""
"9","22","library","Библиотека","Бібліотека","nouns",""
"9","23","wallet","Кошелек","Гаманець","nouns",""
"9","24","furniture","Мебель","Меблі","nouns",""
"9","25","supermarket","Супермаркет","Супермаркет","nouns",""
"9","26","museum","Музей","Музей","nouns",""
"9","27","link","Ссылка","Посилання","nouns",""
"9","28","email","Электронное письмо","Електронний лист","nouns",""
"9","29","group","Группа","Група","nouns",""
"9","30","video","Видео","Відео","nouns",""
"9","31","profile","Профиль","Профіль","nouns",""
"9","32","house","Дом","Будинок","nouns",""
"9","33","country","Страна","Країна","nouns",""
"9","34","any","Любой / какой-нибудь","Будь-який","adjectives",""
"9","35","apple","Яблоко","Яблуко","nouns",""
"9","36","beautiful","Красивый","Гарний","adjectives",""
"9","37","bedroom","Спальня","Спальня","nouns",""
"9","38","big","Большой","Великий","nouns",""
"9","39","classroom","Класс","Класна кімната","nouns",""
"9","40","clean","Чистый","Чистий","adjectives",""
"9","41","clock","Часы","Годинник","nouns",""
"9","42","dessert","Десерт","Десерт","nouns",""
"9","43","famous","Известный","Відомий","adjectives",""
"9","44","film","Фильм","Фільм","nouns",""
"9","45","machine","Машина (механизм)","Машина (механізм)","nouns",""
"9","46","magazine","Журнал","Журнал","nouns",""
"9","47","many","Много","Багато","nouns",""
"9","48","mirror","Зеркало","Дзеркало","nouns",""
"9","49","mountain","Гора","Гора","nouns",""
"9","50","new","Новый","Новий","nouns",""
"9","51","note","Записка","Записка","nouns",""
"9","52","old","Старый","Старий","nouns",""
"9","53","pharmacy","Аптека","Аптека","nouns",""
"9","54","photo","Фото","Фото","nouns",""
"9","55","place","Место","Місце","nouns",""
"9","56","pocket","Карман","Кишеня","nouns",""
"9","57","pool","Бассейн","Басейн","nouns",""
"9","58","printer","Принтер","Принтер","nouns",""
"9","59","quiet","Тихий","Тихий","nouns",""
"9","60","sky","Небо","Небо","nouns",""
"9","61","some","Некоторые","Деякі","nouns",""
"9","62","star","Звезда","Зірка","nouns",""
"9","63","student","Учащийся","Студент","nouns",""
"9","64","task","Задача","Завдання","nouns",""
"9","65","there","Там","Там","adverbs",""
"9","66","toy","Игрушка","Іграшка","nouns",""
"9","67","tree","Дерево","Дерево","nouns",""
"9","68","useful","Полезный","Корисний","adjectives",""
"9","69","window","Окно","Вікно","nouns",""
"10","1","can't","Нельзя / не могу","Не можна / не можу","verbs",""
"10","2","mustn't","Нельзя (запрет)","Не можна (заборона)","verbs",""
"10","3","have to","Нужно / приходится","Потрібно / доводиться","verbs",""
"10","4","translate","Переводить","Перекладати","verbs",""
"10","5","fix","Починить","Полагодити","verbs",""
"10","6","explain","Объяснять","Пояснювати","verbs",""
"10","7","discuss","Обсуждать","Обговорювати","verbs",""
"10","8","repair","Ремонтировать","Ремонтувати","verbs",""
"10","9","save","Экономить / Сохранять","Економити / Зберігати","verbs",""
"10","10","protect","Защищать","Захищати","verbs",""
"10","11","organize","Организовывать","Організувати","verbs",""
"10","12","answer","Отвечать","Відповідати","verbs",""
"10","13","study","Учиться / Изучать","Вчитися / Вивчати","verbs",""
"10","14","print","Распечатывать","Роздруковувати","verbs",""
"10","15","password","Пароль","Пароль","nouns",""
"10","16","computer","Компьютер","Комп'ютер","nouns",""
"10","17","energy","Энергия","Енергія","nouns",""
"10","18","suit","Костюм","Костюм","nouns",""
"10","19","medicine","Лекарство","Ліки","nouns",""
"10","20","gift","Подарок","Подарунок","nouns",""
"10","21","project","Проект","Проект","nouns",""
"10","22","bike","Велосипед (разг.)","Велосипед (розм.)","nouns",""
"10","23","taxi","Такси","Таксі","nouns",""
"10","24","holiday","Праздник","Свято","nouns",""
"10","25","nature","Природа","Природа","nouns",""
"11","1","yesterday","Вчера","Вчора","adverbs",""
"11","2","ago","Назад (тому)","Тому (назад)","adverbs",""
"11","3","day","День","День","nouns",""
"11","4","hour","Час (единица времени)","Година","nouns",""
"11","5","minute","Минута","Хвилина","nouns",""
"11","6","week","Неделя","Тиждень","nouns",""
"11","7","month","Месяц","Місяць","nouns",""
"11","8","last","Последний (прошлый)","Минулий / останній","adjectives",""
"11","9","three","Три","Три","nouns",""
"11","10","paint","Красить","Фарбувати","verbs",""
"11","11","confirm","Подтверждать","Підтверджувати","verbs",""
"11","12","upload","Загружать (в сеть)","Завантажувати (в мережу)","verbs",""
"11","13","iron","Гладить (одежду)","Прасувати (одяг)","verbs",""
"11","14","deliver","Доставлять","Доставляти","verbs",""
"11","15","post","Отправлять (почтой)","Надсилати (поштою)","verbs",""
"11","16","cancel","Отменять","Скасовувати","verbs",""
"11","17","miss","Пропускать / скучать","Пропускати / сумувати","verbs",""
"11","18","lock","Запирать (на замок)","Замикати","verbs",""
"11","19","close","Закрывать","Закривати","verbs",""
"11","20","move","Передвигать / переезжать","Пересувати / переїжджати","verbs",""
"11","21","water","Поливать","Поливати","verbs",""
"11","22","attend","Посещать (мероприятие)","Відвідувати (захід)","verbs",""
"11","23","prepare","Готовить / подготавливать","Готувати / підготовлювати","verbs",""
"11","24","booke","Забронировал(а)","Забронював(ла)","verbs","первая форма: booked -> booke"
"11","25","visite","Посетил(а)","Відвідав(ла)","verbs","первая форма: visited -> visite"
"11","26","painte","Покрасил(а)","Пофарбував(ла)","verbs","первая форма: painted -> painte"
"11","27","checke","Проверил(а)","Перевірив(ла)","verbs","первая форма: checked -> checke"
"11","28","parke","Припарковал(а)","Припаркував(ла)","verbs","первая форма: parked -> parke"
"11","29","confirme","Подтвердил(а)","Підтвердив(ла)","verbs","первая форма: confirmed -> confirme"
"11","30","uploade","Загрузил(а) (в сеть)","Завантажив(ла) (в мережу)","verbs","первая форма: uploaded -> uploade"
"11","31","irone","Погладил(а)","Випрасував(ла)","verbs","первая форма: ironed -> irone"
"11","32","delivere","Доставил(а)","Доставив(ла)","verbs","первая форма: delivered -> delivere"
"11","33","rente","Арендовал(а)","Орендував(ла)","verbs","первая форма: rented -> rente"
"11","34","washe","Вымыл(а) / постирал(а)","Вимив(ла) / випрала","verbs","первая форма: washed -> washe"
"11","35","cancele","Отменил(а)","Скасував(ла)","verbs","первая форма: canceled -> cancele"
"11","36","misse","Пропустил(а)","Пропустив(ла)","verbs","первая форма: missed -> misse"
"11","37","locke","Запер(ла) на замок","Замкнув(ла)","verbs","первая форма: locked -> locke"
"11","38","returne","Вернул(а) / отдал(а) назад","Повернув(ла)","verbs","первая форма: returned -> returne"
"11","39","watere","Полил(а)","Полив(ла)","verbs","первая форма: watered -> watere"
"11","40","attende","Посетил(а) (мероприятие)","Відвідав(ла) (захід)","verbs","первая форма: attended -> attende"
"11","41","cooke","Приготовил(а) (еду)","Приготував(ла) (їжу)","verbs","первая форма: cooked -> cooke"
"11","42","opene","Открыл(а)","Відкрив(ла)","verbs","первая форма: opened -> opene"
"11","43","ordere","Заказал(а)","Замовив(ла)","verbs","первая форма: ordered -> ordere"
"11","44","calle","Позвонил(а)","Подзвонив(ла)","verbs","первая форма: called -> calle"
"11","45","answere","Ответил(а)","Відповів(ла)","verbs","первая форма: answered -> answere"
"11","46","charge","Зарядил(а)","Зарядив(ла)","verbs","первая форма: charged -> charge"
"11","47","cleane","Почистил(а)","Прибрав(ла)","verbs","первая форма: cleaned -> cleane"
"11","48","delete","Удалил(а)","Видалив(ла)","verbs","первая форма: deleted -> delete"
"11","49","discusse","Обсудил(а)","Обговорив(ла)","verbs","первая форма: discussed -> discusse"
"11","50","finishe","Закончил(а)","Закінчив(ла)","verbs","первая форма: finished -> finishe"
"11","51","fixe","Починил(а)","Відремонтував(ла)","verbs","первая форма: fixed -> fixe"
"11","52","helpe","Помог(ла)","Допоміг(ла)","verbs","первая форма: helped -> helpe"
"11","53","maile","Отправил(а) почтой","Надіслав(ла) поштою","verbs","первая форма: mailed -> maile"
"11","54","packe","Упаковал(а)","Упакував(ла)","verbs","первая форма: packed -> packe"
"11","55","printe","Распечатал(а)","Роздрукував(ла)","verbs","первая форма: printed -> printe"
"11","56","turne","Выключил(а) (с off) / повернул(а)","Вимкнув(ла) (з off) / повернув(ла)","verbs","первая форма: turned -> turne"
"11","57","watche","Посмотрел(а)","Дивився / дивилась","verbs","первая форма: watched -> watche"
"11","58","brushe","Почистил(а) щёткой","Почистив(ла) щіткою","verbs","первая форма: brushed -> brushe"
"11","59","shirt","Рубашка","Сорочка","nouns",""
"11","60","shoe","Туфля / ботинок","Туфля / черевик","nouns",""
"11","61","laptop","Ноутбук","Ноутбук","nouns",""
"11","62","battery","Батарейка","Батарейка","nouns",""
"11","63","plant","Растение","Рослина","nouns",""
"11","64","parcel","Посылка","Посилка","nouns",""
"11","65","lecture","Лекция","Лекція","nouns",""
"11","66","movie","Фильм (разг.)","Фільм (розм.)","nouns",""
"11","67","present","Подарок","Подарунок","nouns",""
"11","68","dirty","Грязный","Брудний","adjectives",""
"11","69","item","Товар (позиция)","Товар (позиція)","nouns",""
"11","70","doctor","Врач","Лікар","nouns",""
"11","71","hair","Волосы","Волосся","nouns",""
"11","72","sister","Сестра","Сестра","nouns",""
"11","73","man","Мужчина","Чоловік","nouns",""
"11","74","woman","Женщина","Жінка","nouns",""
"11","75","long","Длинный","Довгий","adjectives",""
"11","76","white","Белый","Білий","adjectives",""
"11","77","difficult","Сложный","Складний","adjectives",""
"11","78","shoes","Обувь","Взуття","nouns",""
"12","1","boat","Лодка","Човен","nouns",""
"12","2","box","Ящик / коробка","Ящик / коробка","nouns",""
"12","3","bridge","Мост","Міст","nouns",""
"12","4","fence","Забор","Паркан","nouns",""
"12","5","glove","Перчатка","Рукавичка","nouns",""
"12","6","headphones","Наушники","Навушники","nouns",""
"12","7","jacket","Куртка","Куртка","nouns",""
"12","8","letter","Письмо","Лист","nouns",""
"12","9","neighbor","Сосед","Сусід","nouns",""
"12","10","picture","Картина / фото","Картина / фото","nouns",""
"12","11","sofa","Диван","Диван","nouns",""
"12","12","article","Статья","Стаття","nouns",""
"12","13","story","История / рассказ","Історія / розповідь","nouns",""
"12","14","song","Песня","Пісня","nouns",""
"12","15","fruit","Фрукт / фрукты","Фрукт / фрукти","nouns",""
"12","16","blue","Синий / голубой","Синій / блакитний","adjectives",""
"12","17","comfortable","Удобный","Зручний","adjectives",""
"12","18","fresh","Свежий","Свіжий","adjectives",""
"12","19","heavy","Тяжёлый","Важкий","adjectives",""
"12","20","hot","Горячий","Гарячий","adjectives",""
"12","21","interesting","Интересный","Цікавий","adjectives",""
"12","22","rare","Редкий","Рідкісний","adjectives",""
"12","23","red","Красный","Червоний","adjectives",""
"12","24","short","Короткий","Короткий","adjectives",""
"12","25","soft","Мягкий","М'який","adjectives",""
"12","26","strange","Странный","Дивний","adjectives",""
"12","27","sweet","Сладкий","Солодкий","adjectives",""
"12","28","wooden","Деревянный","Дерев'яний","adjectives",""
"12","29","warm","Тёплый","Теплий","adjectives",""
"12","30","noisy","Шумный","Шумний","adjectives",""
"12","31","bird","Птица","Птах","nouns",""
"12","32","bread","Хлеб","Хліб","nouns",""
"12","33","juice","Сок","Сік","nouns",""
"12","34","text","Текст","Текст","nouns",""
"12","35","topic","Тема","Тема","nouns",""
"12","36","word","Слово","Слово","nouns","первая форма: words -> word"
"12","37","tasty","Вкусный","Смачний","adjectives",""
"13","1","soon","Скоро","Скоро","adverbs",""
"13","2","later","Позже","Пізніше","adverbs",""
